method	iter	avg_length	num_domain	ge_ve	TAD_agreement	RT_score1	RT_score2
short_gbr	0	185090.02770083104	14440	0.3082832709839921	0.99739862740696	0.3557988799861598	0.15178307390709192
short_gbr	1	191783.86911595866	13936	0.3051976335577232	0.9986484689347088	0.3673059631894178	0.15821407707790322
short_gbr	2	193533.67125271543	13810	0.3042719512666403	1.0101698035837152	0.36975056824497027	0.15986282082079095
short_gbr	3	193856.53151519547	13787	0.3045838467614099	1.0006185308210571	0.37019696080610914	0.16014898943504735
short_gbr	4	194081.76603006318	13771	0.30457124979640327	1.0037286934250704	0.3704563741449555	0.16029572651874108
short_gbr	5	194138.15646110263	13767	0.3045903315147428	1.0058152057528331	0.37056243962345703	0.1603583165463306
short_gbr	6	194166.3639665819	13765	0.3045903315147428	1.0095331640462524	0.37066659625776827	0.16044308232218782
short_gbr	7	194138.15646110263	13767	0.3045903315147428	1.002424526715032	0.3707043015579856	0.1604840621964484
short_gbr	8	194109.95715011982	13769	0.3045903315147428	1.0057433435213823	0.3707419069730881	0.1605250763909668
short_gbr	9	194109.95715011982	13769	0.3045903315147428	1.0085184122202853	0.3707419069730881	0.1605250763909668
long_gbr	0	180771.05174163004	14785	0.3081614409863429	0.9860364987622658	0.36099380720087626	0.1635874176105273
long_gbr	1	182461.7695248498	14648	0.30460042169363977	0.9760560961093332	0.358304737142685	0.1602489352250772
long_gbr	2	182823.7225528422	14619	0.3036459970077654	0.9788121943473964	0.3568847702567301	0.1587703155640925
long_gbr	3	182911.30577607447	14612	0.3026617531659904	0.9894902414967849	0.35679256636825946	0.15873102660189345
long_gbr	4	182948.86713669656	14609	0.3025387512240024	0.9781164374935672	0.35692206257066217	0.1588026737846853
long_gbr	5	182923.82451577578	14611	0.30235806513677166	0.9815282223014475	0.35701697130736276	0.15888925389945022
long_gbr	6	182923.82451577578	14611	0.3022993829947067	0.9759756729705061	0.35698167273994613	0.1588739558492882
long_gbr	7	182923.82451577578	14611	0.3022993829947067	0.981413490010057	0.35698167273994613	0.1588739558492882
long_gbr	8	182923.82451577578	14611	0.3022993829947067	0.978645600946288	0.35698167273994613	0.1588739558492882
long_gbr	9	182923.82451577578	14611	0.3022993829947067	0.9774835479822728	0.35698167273994613	0.1588739558492882
short_hmrf	0	203417.3072532156	13139	0.21020604979988533	1.0628945682891657	0.34154139686269785	0.15301916402264643
short_hmrf	1	248184.60395579904	10769	0.1684222070935032	1.0803564922332574	0.30918800210894504	0.13106519076537376
short_hmrf	2	303715.9090909091	8800	0.20305841504933242	1.089354921564328	0.279775155061587	0.12390296116414479
short_hmrf	3	366182.31665524334	7295	0.19901528345767572	1.089413263190381	0.24680729873868476	0.11835100811465446
short_hmrf	4	417227.3509622907	6391	0.12610623631287243	1.0775467422982845	0.22775657060087293	0.10438286308620467
short_hmrf	5	509871.3270597273	5207	0.05508238569478574	1.0704118312086974	0.19594379428155775	0.07248680998752141
short_hmrf	6	659366.4255425293	4009	0.026260783363681428	1.0597851765632176	0.15510131416717948	0.044602727516483455
short_hmrf	7	872697.2598217233	3029	0.01675697685866906	1.0548873577091158	0.11948238963110315	0.025777530158942397
short_hmrf	8	1134993.5594675827	2329	0.012685945758473705	1.0457878208712716	0.0865607490298611	0.013473744088622865
short_hmrf	9	1492603.0491247883	1771	0.010431070399510634	1.0319492876753003	0.06692192082658836	0.008110443271998877
long_hmrf	0	446417.23734758643	5987	0.10804137038583539	1.0701597615918725	0.29870379473448727	0.16931606512377742
long_hmrf	1	1321156.697973307	2023	0.022267479174599147	1.0355963709223674	0.08996852207005257	0.0231573876932006
long_hmrf	2	2015610.8597285068	1326	0.00785520437260745	1.0244087579430778	0.029874380918049708	0.0029605865540596726
long_hmrf	3	2337931.0344827585	1131	0.005883390602063332	1.0239310365784438	0.014838873637293545	0.0010641068795185478
long_hmrf	4	2487488.240827846	1063	0.005398032196063163	1.0229964963827882	0.014691809154119754	0.0010625405190819138
long_hmrf	5	2640759.240759241	1001	0.004888305648617641	1.0213322902767308	0.014495223064667162	0.0010107718918427279
long_hmrf	6	2725154.6391752576	970	0.0050124231481804005	1.0191890043845935	0.014519435916020043	0.000977230900101816
long_hmrf	7	2824145.299145299	936	0.004710989236308305	1.0193259281349925	0.014247236664248394	0.0009212765331703662
long_hmrf	8	2898464.9122807016	912	0.004884801792373605	1.0189025013878579	0.014130370281689822	0.0008759010194691689
long_hmrf	9	2960134.37849944	893	0.004997845401208512	1.0182796693665617	0.014078707238500687	0.0008367759999450075
