name	value
input_master_filename	traindir_res10000_k5/params/input.master
log_likelihood	-148247.39578135556
log_likelihood_filename	traindir_res10000_k5/likelihood/likelihood.ll
num_segs	5
params_filename	traindir_res10000_k5/params/params.0.params.23
validation_likelihood	-inf
validation_output_filename	
validation_sum_filename	
