jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
49	emt0.2.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	53.077124	0
50	emt0.2.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	54.0316	0
51	emt0.2.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	54.950019999999995	0
52	emt0.2.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	55.888352	0
53	emt0.2.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	56.783037	0
54	emt0.2.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	57.634299999999996	0
55	emt0.2.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	58.523506000000005	0
56	emt0.2.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	59.436792	0
57	emt0.2.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	60.312571000000005	0
58	emt0.2.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	61.182992	0
59	emt0.2.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	61.984823	0
60	emt0.2.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	62.751014	0
61	emt0.2.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	63.528762	0
62	emt0.2.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	64.324592	0
63	emt0.2.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	65.082791	0
64	emt0.2.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	65.852822	0
65	emt0.2.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	66.620358	0
66	emt0.2.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	67.35337100000001	0
67	emt0.2.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	68.19721200000001	0
68	emt0.2.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	68.890061	0
69	emt0.2.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	69.52430000000001	0
70	emt0.3.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	70.606356	0
71	emt0.3.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	71.702896	0
72	emt0.3.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	72.753001	0
73	emt0.3.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	73.775293	0
74	emt0.3.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	74.7844	0
75	emt0.3.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	75.740458	0
76	emt0.3.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	76.704448	0
77	emt0.3.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	77.668396	0
78	emt0.3.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	78.493549	0
79	emt0.3.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	79.416039	0
80	emt0.3.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	80.399954	0
81	emt0.3.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	81.389951	0
82	emt0.3.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	82.328666	0
83	emt0.3.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	83.21413199999999	0
84	emt0.3.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	84.114496	0
85	emt0.3.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	84.96607	0
86	emt0.3.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	85.805735	0
87	emt0.3.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	86.71292000000001	0
88	emt0.3.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	87.571026	0
89	emt0.3.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	88.434832	0
90	emt0.3.13.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	388	0	89.2549	0
91	emt0.3.14.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	353	0	90.092349	0
92	emt0.3.bundle.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	0	0	90.687647	0
93	emt0.4.0.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2488	0	91.714445	0
94	emt0.4.11.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	2431	0	92.695386	0
95	emt0.4.15.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1979	0	93.651851	0
96	emt0.4.16.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1911	0	94.576861	0
97	emt0.4.17.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1808	0	95.468029	0
98	emt0.4.18.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1708	0	96.344156	0
99	emt0.4.19.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1592	0	97.236919	0
100	emt0.4.20.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1463	0	98.14386200000001	0
101	emt0.4.21.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1412	0	99.01269500000001	0
102	emt0.4.1.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1355	0	99.881975	0
103	emt0.4.2.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1349	0	100.74149299999999	0
104	emt0.4.3.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	1339	0	101.61698000000001	0
105	emt0.4.4.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	962	0	102.463185	0
106	emt0.4.7.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	902	0	103.313596	0
107	emt0.4.5.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	883	0	104.18600799999999	0
108	emt0.4.6.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	825	0	105.058815	0
109	emt0.4.8.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	812	0	105.847641	0
110	emt0.4.9.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	781	0	106.665144	0
111	emt0.4.12.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	630	0	107.456752	0
112	emt0.4.10.traindir_res100000_k4.0824969aa35211ec999da4c3f04f704a	gmtkEMtrain	4	591	0	108.303147	0
