name	value
input_master_filename	traindir_res100000_k4/params/input.master
log_likelihood	51852.78903489645
log_likelihood_filename	traindir_res100000_k4/likelihood/likelihood.ll
num_segs	4
params_filename	traindir_res100000_k4/params/params.0.params.27
validation_likelihood	-inf
validation_output_filename	
validation_sum_filename	
