name	value
input_master_filename	traindir_res25000_k5/params/input.master
log_likelihood	1141.8891277394232
log_likelihood_filename	traindir_res25000_k5/likelihood/likelihood.ll
num_segs	5
params_filename	traindir_res25000_k5/params/params.0.params.62
validation_likelihood	-inf
validation_output_filename	
validation_sum_filename	
