jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
50	emt0.2.16.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19104	0	179.942324	0
51	emt0.2.17.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	18071	0	184.79787100000001	0
52	emt0.2.18.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	17072	0	189.375055	0
53	emt0.2.19.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	15909	0	193.690251	0
54	emt0.2.20.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14616	0	197.617365	0
55	emt0.2.21.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14107	0	201.098692	0
56	emt0.2.1.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13545	0	204.83388200000002	0
57	emt0.2.2.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13478	0	208.54357900000002	0
58	emt0.2.3.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13379	0	212.27755299999998	0
59	emt0.2.4.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9609	0	215.219594	0
60	emt0.2.7.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9011	0	217.696912	0
61	emt0.2.5.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8829	0	220.44246199999998	0
62	emt0.2.6.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8252	0	222.895507	0
63	emt0.2.8.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	8116	0	225.296885	0
64	emt0.2.9.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	7801	0	227.764791	0
65	emt0.2.12.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	6291	0	229.896251	0
66	emt0.2.10.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	5901	0	231.890029	0
67	emt0.2.13.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	3870	0	233.412603	0
68	emt0.2.14.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	3518	0	234.891929	0
47	emt0.2.0.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	24870	0	240.460858	0
48	emt0.2.11.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	24308	0	246.042329	0
49	emt0.2.15.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19784	0	250.951865	0
69	emt0.2.bundle.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	0	0	251.537252	0
72	emt0.3.15.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19784	0	255.68368	0
73	emt0.3.16.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	19104	0	260.233688	0
74	emt0.3.17.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	18071	0	264.360904	0
75	emt0.3.18.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	17072	0	268.586312	0
76	emt0.3.19.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	15909	0	272.52162500000003	0
77	emt0.3.20.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14616	0	276.25965	0
78	emt0.3.21.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	14107	0	279.442164	0
79	emt0.3.1.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13545	0	282.86497199999997	0
80	emt0.3.2.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13478	0	286.245759	0
81	emt0.3.3.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	13379	0	289.582669	0
82	emt0.3.4.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9609	0	292.19721799999996	0
83	emt0.3.7.traindir_res10000_k6.206122c8a37011ecbf0d23887d6f37ce	gmtkEMtrain	6	9011	0	294.50488199999995	0
