annot	k	ge_VE
HMM_functional	6	0.3489842995885023
HMM_functional	7	0.34564195521446084
HMM_functional	8	0.34615278059607313
HMM_functional	9	0.35361261507728126
HMM_functional	10	0.34576477515351434
HMM_structural	6	0.10434147338757793
HMM_structural	7	0.11462873262032625
HMM_structural	8	0.11367902957415132
HMM_structural	9	0.11641638360533213
HMM_structural	10	0.11631392961593046
HMM_combined	6	0.26632860068215436
HMM_combined	7	0.25882767940567053
HMM_combined	8	0.2983149411638737
HMM_combined	9	0.30003136409620024
HMM_combined	10	0.3119021099762169
