name	value
input_master_filename	traindir_res10000_k6/params/input.master
log_likelihood	-70685.17881127527
log_likelihood_filename	traindir_res10000_k6/likelihood/likelihood.ll
num_segs	6
params_filename	traindir_res10000_k6/params/params.0.params.58
validation_likelihood	-inf
validation_output_filename	
validation_sum_filename	
