jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
51	emt0.2.17.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1808	0	60.234944999999996	0
52	emt0.2.18.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1708	0	61.451164	0
53	emt0.2.19.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1592	0	62.65956	0
54	emt0.2.20.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1463	0	63.756792000000004	0
55	emt0.2.21.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1412	0	64.876374	0
56	emt0.2.1.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1355	0	66.015511	0
57	emt0.2.2.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1349	0	67.100691	0
58	emt0.2.3.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	1339	0	68.194208	0
59	emt0.2.4.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	962	0	69.21570200000001	0
60	emt0.2.7.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	902	0	70.253305	0
61	emt0.2.5.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	883	0	71.24632199999999	0
62	emt0.2.6.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	825	0	72.095661	0
63	emt0.2.8.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	812	0	73.093739	0
64	emt0.2.9.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	781	0	74.100431	0
65	emt0.2.12.train_K8.ea4d0b9ea42c11eca965a4c3f04f704a	gmtkEMtrain	8	630	0	75.053473	0
